Datetime,IndoorTemp,IndoorHumidity,OutdoorTemp,OutdoorHumidity,Rain,CloudCover,WindSpeed,Hour,DayOfWeek,DayName,Weekend,dT,dH,Gradient,AC_State,TempDifference,HumidityDifference,CoolingRate,IndoorTemp_Lag1,IndoorHumidity_Lag1,RollingTemp_1hr,RollingHumidity_1hr,TempStd_1hr,AI_AC,AI_Probability,Baseline_AC
2026-06-28 21:15:00,32.08,74.52000000000001,25.2574996,87.4095768,0.0,69.8166652,1.11337006,21,6,Sunday,1,-0.020000000000003126,0.12000000000000455,-6.822500399999999,0,6.822500399999999,-12.889576799999986,0.020000000000003126,32.1,74.4,32.163333333333334,74.0,0.06429100506578844,0,0.09,0
2026-06-28 21:20:00,32.06,74.5,25.2449998,87.342441,0.0,71.2333328,1.2225498,21,6,Sunday,1,-0.01999999999999602,-0.020000000000010232,-6.815000200000004,0,6.815000200000004,-12.842440999999994,0.01999999999999602,32.08,74.52000000000001,32.145,74.06666666666668,0.05916079782290018,0,0.09,0
2026-06-28 21:25:00,32.0,74.55999999999999,25.2324996,87.2753068,0.0,72.650002,1.33172954,21,6,Sunday,1,-0.060000000000002274,0.05999999999998806,-6.767500399999999,0,6.767500399999999,-12.715306800000008,0.060000000000002274,32.06,74.5,32.12666666666667,74.14,0.06733003291534495,0,0.09,0
2026-06-28 21:30:00,32.019999999999996,74.66,25.2199994,87.2081672,0.0,74.0666652,1.44090924,21,6,Sunday,1,0.01999999999999602,0.10000000000000853,-6.800000599999997,0,6.800000599999997,-12.548167200000009,-0.01999999999999602,32.0,74.55999999999999,32.11,74.21499999999999,0.06687845147565086,0,0.09,0
2026-06-28 21:35:00,32.0,74.62,25.2074998,87.14103300000001,0.0,75.4833328,1.55008896,21,6,Sunday,1,-0.01999999999999602,-0.03999999999999204,-6.792500199999999,0,6.792500199999999,-12.521033000000003,0.01999999999999602,32.019999999999996,74.66,32.093333333333334,74.27833333333332,0.06733003291542844,0,0.09,0
2026-06-28 21:40:00,32.0,74.56,25.1949996,87.0738972,0.0,76.900002,1.65926872,21,6,Sunday,1,0.0,-0.060000000000002274,-6.805000400000001,0,6.805000400000001,-12.513897200000002,-0.0,32.0,74.62,32.07666666666667,74.33333333333333,0.06314965389409358,0,0.09,0
2026-06-28 21:45:00,32.0,74.66,25.1824998,87.0067598,0.0,78.3166652,1.76844842,21,6,Sunday,1,0.0,0.09999999999999432,-6.817500200000001,0,6.817500200000001,-12.346759800000001,-0.0,32.0,74.56,32.06,74.40166666666666,0.05325752186719147,0,0.09,0
2026-06-28 21:50:00,31.98,74.7,25.1699996,86.93962400000001,0.0,79.7333328,1.8776281400000001,21,6,Sunday,1,-0.019999999999999574,0.04000000000000625,-6.8100004,0,6.8100004,-12.239624000000006,0.019999999999999574,32.0,74.66,32.04833333333334,74.46333333333334,0.054244117114198756,0,0.09,0
2026-06-28 21:55:00,31.96,74.74,25.1574998,86.8724898,0.0,81.150002,1.98680786,21,6,Sunday,1,-0.019999999999999574,0.03999999999999204,-6.802500200000001,0,6.802500200000001,-12.132489800000002,0.019999999999999574,31.98,74.7,32.03333333333333,74.51666666666667,0.05140451576956996,0,0.09,0
2026-06-28 22:00:00,31.96,74.78,25.15,86.76277400000001,0.0,82.2,2.0476861,22,6,Sunday,1,0.0,0.04000000000000625,-6.810000000000002,0,6.810000000000002,-11.982774000000006,-0.0,31.96,74.74,32.02166666666667,74.57333333333334,0.05078176717948547,0,0.09,0
2026-06-28 22:05:00,31.919999999999998,74.78,25.15,86.589186,0.0,82.7,2.03611192,22,6,Sunday,1,-0.0400000000000027,0.0,-6.77,0,6.77,-11.809185999999997,0.0400000000000027,31.96,74.78,32.00666666666667,74.62333333333333,0.052107115773568226,0,0.09,0
2026-06-28 22:10:00,31.9,74.9,25.15,86.41559720000001,0.0,83.2,2.0245378,22,6,Sunday,1,-0.019999999999999574,0.12000000000000455,-6.75,0,6.75,-11.515597200000002,0.019999999999999574,31.919999999999998,74.78,31.99,74.66499999999999,0.051522281137770604,0,0.09,0
2026-06-28 22:15:00,31.9,74.92,25.15,86.242014,0.0,83.7,2.0129638,22,6,Sunday,1,0.0,0.01999999999999602,-6.75,0,6.75,-11.322013999999996,-0.0,31.9,74.9,31.974999999999998,74.69833333333334,0.049082490851523955,0,0.09,0
2026-06-28 22:20:00,31.9,75.02000000000001,25.15,86.068426,0.0,84.2,2.0013895,22,6,Sunday,1,0.0,0.10000000000000853,-6.75,0,6.75,-11.048425999999992,-0.0,31.9,74.92,31.961666666666662,74.74166666666666,0.045493922328156876,0,0.09,0
2026-06-28 22:25:00,31.880000000000003,75.05999999999999,25.15,85.89483800000001,0.0,84.7,1.9898155,22,6,Sunday,1,-0.01999999999999602,0.03999999999997783,-6.730000000000004,0,6.730000000000004,-10.834838000000019,0.01999999999999602,31.9,75.02000000000001,31.951666666666664,74.78333333333333,0.04932882861410766,0,0.09,0
2026-06-28 22:30:00,31.9,75.16,25.15,85.7212548,0.0,85.2,1.97824132,22,6,Sunday,1,0.01999999999999602,0.10000000000000853,-6.75,0,6.75,-10.5612548,-0.01999999999999602,31.880000000000003,75.05999999999999,31.941666666666666,74.825,0.04628632888374544,0,0.09,0
2026-06-28 22:35:00,31.839999999999996,75.17999999999999,25.15,85.547666,0.0,85.7,1.96666724,22,6,Sunday,1,-0.060000000000002274,0.01999999999999602,-6.689999999999998,0,6.689999999999998,-10.367666000000014,0.060000000000002274,31.9,75.16,31.92833333333333,74.87166666666667,0.05078176717978845,0,0.09,0
