Date,Datetime,Hour,Baseline_Temp,Baseline_AC,Optimized_Temp,Optimized_AC
2026-06-26,2026-06-26 11:35:00,11,23.49947635287419,1,25.45410291285254,1
2026-06-26,2026-06-26 11:40:00,11,23.530417228285224,1,25.470806155288592,1
2026-06-26,2026-06-26 11:45:00,11,23.54568108746782,1,25.483138300413266,1
2026-06-26,2026-06-26 11:50:00,11,23.555316563863308,1,25.492577150398866,1
2026-06-26,2026-06-26 11:55:00,11,23.56417464947328,1,25.507254335032776,1
2026-06-26,2026-06-26 12:00:00,12,23.590437769126147,1,25.533174651609734,1
2026-06-26,2026-06-26 12:05:00,12,23.60068560594693,1,25.543079705843702,1
2026-06-26,2026-06-26 12:10:00,12,23.626359643582255,1,25.565419785613194,1
2026-06-26,2026-06-26 12:15:00,12,23.640448784623295,1,25.57142856524326,1
2026-06-26,2026-06-26 12:20:00,12,23.67258978093043,1,25.595489179650322,1
2026-06-26,2026-06-26 12:25:00,12,23.688038328830153,1,25.570916984165088,1
2026-06-26,2026-06-26 12:30:00,12,23.723449742589146,1,25.561241662064567,1
2026-06-26,2026-06-26 12:35:00,12,23.731135634873063,1,25.535062450850383,1
2026-06-26,2026-06-26 12:40:00,12,23.758537663314492,1,25.5131076629553,1
2026-06-26,2026-06-26 12:45:00,12,23.7727755076997,1,25.493801159719006,1
2026-06-26,2026-06-26 12:50:00,12,23.805115956049413,1,25.485360329905525,1
2026-06-26,2026-06-26 12:55:00,12,23.83001222198829,1,25.484056139066816,1
2026-06-26,2026-06-26 13:00:00,13,23.85712307056412,1,25.462083153128624,1
2026-06-26,2026-06-26 13:05:00,13,23.885039770212025,1,25.44275566160679,1
2026-06-26,2026-06-26 13:10:00,13,23.91795162221417,1,25.42977595858276,1
2026-06-26,2026-06-26 13:15:00,13,23.950819597747177,1,25.416752375364304,1
2026-06-26,2026-06-26 13:20:00,13,23.98779020940885,1,25.410045973658562,1
2026-06-26,2026-06-26 13:25:00,13,24.020718568172306,1,25.391988806128502,1
2026-06-26,2026-06-26 13:30:00,13,24.04179291350767,1,25.35464664146304,1
2026-06-26,2026-06-26 13:35:00,13,24.053142328914255,1,25.303001735061407,1
2026-06-26,2026-06-26 13:40:00,13,24.07912103941664,1,25.29991574020125,1
2026-06-26,2026-06-26 13:45:00,13,24.109180367719382,1,25.267998060146347,1
2026-06-26,2026-06-26 13:50:00,13,24.142902272921056,1,25.23617283807136,1
2026-06-26,2026-06-26 13:55:00,13,24.17994355333969,1,25.2091555799637,1
2026-06-26,2026-06-26 14:00:00,14,24.233107748609036,1,25.182964280182496,1
2026-06-26,2026-06-26 14:05:00,14,24.278702332805842,1,25.154563916781917,1
2026-06-26,2026-06-26 14:10:00,14,24.321706923823804,1,25.123573560202495,1
2026-06-26,2026-06-26 14:15:00,14,24.355442515742034,1,25.094405429372564,1
2026-06-26,2026-06-26 14:20:00,14,24.409101142715663,1,25.08303893723525,1
2026-06-26,2026-06-26 14:25:00,14,24.43903441650793,1,25.07410924316384,1
2026-06-26,2026-06-26 14:30:00,14,24.465031816791743,1,25.05395614908077,1
2026-06-26,2026-06-26 14:35:00,14,24.47771050332114,1,25.033338202098385,1
2026-06-26,2026-06-26 14:40:00,14,24.48769436886534,1,25.006152324313298,1
2026-06-26,2026-06-26 14:45:00,14,24.492769530210644,1,24.9741493202094,1
2026-06-26,2026-06-26 14:50:00,14,24.497844691555947,1,24.9421463161055,1
2026-06-26,2026-06-26 14:55:00,14,24.497885290089762,1,24.9114908091072,1
2026-06-26,2026-06-26 15:00:00,15,24.489940222840524,1,24.8757771215681,1
2026-06-26,2026-06-26 15:05:00,15,24.472684735920048,1,24.83462572836317,1
2026-06-26,2026-06-26 15:10:00,15,24.451715665425873,1,24.819848435865715,1
2026-06-26,2026-06-26 15:15:00,15,24.429454502206063,1,24.78791089628823,1
2026-06-26,2026-06-26 15:20:00,15,24.3993439008703,1,24.743630233155564,1
2026-06-26,2026-06-26 15:25:00,15,24.36278796617291,1,24.72403168206103,1
2026-06-26,2026-06-26 15:30:00,15,24.324174125235295,1,24.67657500033267,1
2026-06-26,2026-06-26 15:35:00,15,24.285956718515372,1,24.654042842732743,1
2026-06-26,2026-06-26 15:40:00,15,24.25448177431128,1,24.6084559140075,1
2026-06-26,2026-06-26 15:45:00,15,24.22038881902001,1,24.586818206058815,1
2026-06-26,2026-06-26 15:50:00,15,24.18623034332297,1,24.538547757016495,1
2026-06-26,2026-06-26 15:55:00,15,24.149301421385026,1,24.516631021099165,1
2026-06-26,2026-06-26 16:00:00,16,24.111883763711667,1,24.472594178216532,1
2026-06-26,2026-06-26 16:05:00,16,24.063885529082036,1,24.458101272517816,1
2026-06-26,2026-06-26 16:10:00,16,24.035621425624704,1,24.4205610676948,1
2026-06-26,2026-06-26 16:15:00,16,23.9895012737473,1,24.389956042105332,1
2026-06-26,2026-06-26 16:20:00,16,23.960452305640793,1,24.359506763452664,1
2026-06-26,2026-06-26 16:25:00,16,23.915404299761867,1,24.329973887586966,1
2026-06-26,2026-06-26 16:30:00,16,23.879592361416435,1,24.299264706606046,1
2026-06-26,2026-06-26 16:35:00,16,23.831660068150377,1,24.26808048591949,1
2026-06-26,2026-06-26 16:40:00,16,23.797029646601295,1,24.23658544749953,1
2026-06-26,2026-06-26 16:45:00,16,23.747355780120706,1,24.20365966663696,1
2026-06-26,2026-06-26 16:50:00,16,23.706271214898443,1,24.16715602383949,1
2026-06-26,2026-06-26 16:55:00,16,23.66906396534643,1,24.134735045889393,1
2026-06-26,2026-06-26 17:00:00,17,23.62243644010625,1,24.091114943781868,1
2026-06-26,2026-06-26 17:05:00,17,23.593165981139755,1,24.056475119600073,1
2026-06-26,2026-06-26 17:10:00,17,23.565757951255655,1,24.010686309942976,1
2026-06-26,2026-06-26 17:15:00,17,23.547063407044625,1,23.975636253068224,1
2026-06-26,2026-06-26 17:20:00,17,23.55427912578336,1,23.96746499271132,1
2026-06-26,2026-06-26 17:25:00,17,23.557242140661693,1,23.9641012902651,1
2026-06-26,2026-06-26 17:30:00,17,23.551055648386246,1,23.956315698502586,1
2026-06-26,2026-06-26 17:35:00,17,23.542458105854458,1,23.94700750841759,1
2026-06-26,2026-06-26 17:40:00,17,23.532204975396162,1,23.936712665883825,1
2026-06-26,2026-06-26 17:45:00,17,23.519910135328537,1,23.925725993169472,1
2026-06-26,2026-06-26 17:50:00,17,23.509183681592113,1,23.91630770678632,1
2026-06-26,2026-06-26 17:55:00,17,23.49701312652207,1,23.904776386385784,1
2026-06-26,2026-06-26 18:00:00,18,23.483147737592226,1,23.89155022933148,1
2026-06-26,2026-06-26 18:05:00,18,23.47308314500726,1,23.882124870484695,1
2026-06-26,2026-06-26 18:10:00,18,23.46034130363143,1,23.868166941618547,1
2026-06-26,2026-06-26 18:15:00,18,23.44857132902718,1,23.85674242994748,1
2026-06-26,2026-06-26 18:20:00,18,23.438915714643663,1,23.847432277565822,1
